functionType,L2 DCM,L1 DCM,MatrixSize,BlockSize,Real Time,Threads
OnMultBlock,35252319,154116009,1000,256,0.362537,1
OnMultBlock,35874930,154114161,1000,256,0.362032,1
OnMultBlock,21378755,141955593,1000,512,0.347311,1
OnMultBlock,21388036,141785032,1000,512,0.347601,1
OnMultBlock,20946328,141824400,1000,512,0.361694,1
OnMultBlock,21121576,141651545,1000,512,0.476376,1
OnMultBlock,21125820,141692649,1000,512,0.410586,1
OnMultBlock,3895606,483735011,1400,128,0.973119,1
OnMultBlock,4861990,483431149,1400,128,1.027833,1
OnMultBlock,4326095,483901378,1400,128,1.021976,1
OnMultBlock,4954616,483238103,1400,128,1.905558,1
OnMultBlock,3827238,483969924,1400,128,0.971952,1
OnMultBlock,87978540,427648105,1400,256,1.047010,1
OnMultBlock,87400189,427070595,1400,256,1.074117,1
OnMultBlock,87707832,427072762,1400,256,1.946254,1
OnMultBlock,87615423,426966116,1400,256,1.096365,1
OnMultBlock,88598264,426635416,1400,256,2.029142,1
OnMultBlock,61637415,390654965,1400,512,1.196350,1
OnMultBlock,61626700,390697585,1400,512,1.987380,1
OnMultBlock,61228442,390525903,1400,512,1.205911,1
OnMultBlock,60851577,390226907,1400,512,1.365413,1
OnMultBlock,61129182,390429193,1400,512,1.152472,1
OnMultBlock,10329748,1020042906,1800,128,3.111734,1
OnMultBlock,9326505,1021405139,1800,128,3.051159,1
OnMultBlock,10328013,1020480315,1800,128,3.133580,1
OnMultBlock,9253270,1021320637,1800,128,3.096183,1
OnMultBlock,8253156,1021568369,1800,128,3.026125,1
OnMultBlock,209280776,893292733,1800,256,2.203149,1
OnMultBlock,210377536,893354898,1800,256,2.199045,1
OnMultBlock,209034662,893525545,1800,256,3.116780,1
OnMultBlock,207342130,894169361,1800,256,2.208018,1
OnMultBlock,209116984,893802704,1800,256,2.180210,1
OnMultBlock,130470823,834192613,1800,512,3.066420,1
OnMultBlock,129389496,834501081,1800,512,2.015285,1
OnMultBlock,129372547,834011812,1800,512,3.180274,1
OnMultBlock,128953893,833454771,1800,512,2.668929,1
OnMultBlock,128918090,833250102,1800,512,2.654101,1
OnMultBlock,14415001,1853336680,2200,128,5.548977,1
OnMultBlock,14598259,1847145155,2200,128,4.677266,1
OnMultBlock,13851672,1853624335,2200,128,4.599988,1
OnMultBlock,14275902,1851770243,2200,128,4.652799,1
OnMultBlock,14340030,1850219776,2200,128,5.586373,1
OnMultBlock,384522229,1611180052,2200,256,5.845411,1
OnMultBlock,386266719,1611965267,2200,256,5.756463,1
OnMultBlock,385097087,1611345540,2200,256,5.835921,1
OnMultBlock,385901383,1611413116,2200,256,5.811677,1
OnMultBlock,385366097,1611113773,2200,256,5.152217,1
OnMultBlock,261728523,1501976383,2200,512,5.478645,1
OnMultBlock,260763415,1497848964,2200,512,6.041363,1
OnMultBlock,261424348,1498170827,2200,512,5.960874,1
OnMultBlock,263119721,1497693687,2200,512,5.807927,1
OnMultBlock,261976385,1497785463,2200,512,5.876125,1
OnMultBlock,25017819,3063565665,2600,128,9.117791,1
OnMultBlock,24712228,3061446977,2600,128,9.099575,1
OnMultBlock,24257175,3052488433,2600,128,9.088501,1
OnMultBlock,24212022,3058894232,2600,128,9.064935,1
OnMultBlock,23386762,3055133410,2600,128,9.040019,1
OnMultBlock,684759879,2660218326,2600,256,10.471163,1
OnMultBlock,683484077,2662845202,2600,256,8.647177,1
OnMultBlock,684465367,2662918269,2600,256,7.605446,1
OnMultBlock,689505966,2662577400,2600,256,7.479469,1
OnMultBlock,688270843,2660686204,2600,256,8.395405,1
OnMultBlock,373585234,2483634599,2600,512,7.268191,1
OnMultBlock,373709309,2486347195,2600,512,7.264665,1
OnMultBlock,372460064,2477348681,2600,512,8.708008,1
OnMultBlock,373640683,2476493540,2600,512,7.899032,1
OnMultBlock,371169782,2476425189,2600,512,8.000840,1
OnMultBlock,37700963,4643698184,3000,128,11.434580,1
OnMultBlock,37869691,4639957257,3000,128,13.118288,1
OnMultBlock,35465094,4628285369,3000,128,9.397992,1
OnMultBlock,37918290,4646173263,3000,128,12.288676,1
OnMultBlock,35480379,4630459352,3000,128,9.413705,1
OnMultBlock,1014343880,4051201214,3000,256,9.888799,1
OnMultBlock,1015997543,4051300041,3000,256,9.971739,1
OnMultBlock,1011913818,4052411262,3000,256,12.852296,1
OnMultBlock,1013748005,4061081385,3000,256,11.715726,1
OnMultBlock,1011784512,4065828602,3000,256,10.012861,1
OnMultBlock,592805948,3762253794,3000,512,12.096104,1
OnMultBlock,593367764,3761839714,3000,512,11.040667,1
OnMultBlock,591754920,3761706613,3000,512,9.845643,1
OnMultBlock,595331561,3763012963,3000,512,10.627301,1
OnMultBlock,5120398514,11665907321,4096,128,30.478423,1
OnMultBlock,2534142639,10211325071,4096,256,85.903788,1
OnMultBlock,1141571666,9514683561,4096,512,61.965211,1
OnMultBlock,17945038884,39238038794,6144,128,106.294255,1
OnMultBlock,9312393876,34180606184,6144,256,103.769823,1
OnMultBlock,3798430140,31905654658,6144,512,206.743539,1
OnMultBlock,39904797485,92643683352,8192,128,869.486589,1
OnMultBlock,20352747671,81238358111,8192,256,676.731733,1
OnMultBlock,9180044640,75804591549,8192,512,488.000756,1
OnMultBlock,82145807145,181479469414,10240,128,499.862844,1
OnMultBlock,43264417965,158433289581,10240,256,530.886028,1
OnMultBlock,17433448312,147924440469,10240,512,970.103086,1
OnMultLineParallel1,169648,6977172,600,N/A,0.098222,4
OnMultLineParallel1,155150,7025431,600,N/A,0.093412,4
OnMultLineParallel1,152337,7022714,600,N/A,0.104437,4
OnMultLineParallel1,150562,7007772,600,N/A,0.104736,4
OnMultLineParallel1,150866,6995012,600,N/A,0.094053,4
OnMultLineParallel1,847830,32526998,1000,N/A,0.768848,4
OnMultLineParallel1,824876,32592286,1000,N/A,0.730378,4
OnMultLineParallel1,828002,32542141,1000,N/A,0.742061,4
OnMultLineParallel1,821518,32463548,1000,N/A,0.768255,4
OnMultLineParallel1,820028,32501040,1000,N/A,0.742331,4
OnMultLineParallel1,2230777,94299284,1400,N/A,2.124569,4
OnMultLineParallel1,2265973,91836493,1400,N/A,1.910733,4
OnMultLineParallel1,2277050,91975096,1400,N/A,1.817466,4
OnMultLineParallel1,2288865,92567884,1400,N/A,1.792052,4
OnMultLineParallel1,2175974,96738576,1400,N/A,5.323123,4
