functionType,MatrixSize,BlockSize,Real Time
OnMultBlock,2600,512,15.858750
OnMultBlock,2600,512,15.470433
OnMultBlock,2600,512,15.512420
OnMultBlock,2600,512,17.235744
OnMultBlock,2600,512,16.092036
OnMultBlock,3000,128,21.356922
OnMultBlock,3000,128,21.329216
OnMultBlock,3000,128,21.207673
OnMultBlock,3000,128,21.631065
OnMultBlock,3000,128,21.690815
OnMultBlock,3000,256,21.463087
OnMultBlock,3000,256,21.458682
OnMultBlock,3000,256,21.911519
OnMultBlock,3000,256,23.020748
OnMultBlock,3000,256,21.992331
OnMultBlock,3000,512,24.972333
OnMultBlock,3000,512,24.060246
OnMultBlock,3000,512,25.371903
OnMultBlock,3000,512,25.134427
OnMultBlock,3000,512,24.720014
